"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Apr 21 09:33:49 GMT 2025","Mon Apr 21 09:34:00 GMT 2025","11058","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"passed","Mon Apr 21 09:34:27 GMT 2025","Mon Apr 21 09:34:39 GMT 2025","11618","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"passed","Mon Apr 21 09:34:39 GMT 2025","Mon Apr 21 09:34:49 GMT 2025","9897","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
"failed","Mon Apr 21 09:32:57 GMT 2025","Mon Apr 21 09:33:18 GMT 2025","20801","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"passed","Mon Apr 21 09:32:17 GMT 2025","Mon Apr 21 09:32:38 GMT 2025","20424","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"failed","Mon Apr 21 09:34:14 GMT 2025","Mon Apr 21 09:34:27 GMT 2025","12967","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"passed","Mon Apr 21 09:33:33 GMT 2025","Mon Apr 21 09:33:48 GMT 2025","15590","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"passed","Mon Apr 21 09:32:38 GMT 2025","Mon Apr 21 09:32:57 GMT 2025","18662","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"failed","Mon Apr 21 09:31:18 GMT 2025","Mon Apr 21 09:31:51 GMT 2025","32638","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"passed","Mon Apr 21 09:35:00 GMT 2025","Mon Apr 21 09:35:23 GMT 2025","23500","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"failed","Mon Apr 21 09:34:49 GMT 2025","Mon Apr 21 09:35:00 GMT 2025","10603","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"broken","Mon Apr 21 09:32:13 GMT 2025","Mon Apr 21 09:31:55 GMT 2025","-17261","","SwiftRadioUITests","","","","Проверка обработки краша приложения в отчете",""
"passed","Mon Apr 21 09:34:05 GMT 2025","Mon Apr 21 09:34:14 GMT 2025","8469","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"skipped","Mon Apr 21 09:33:18 GMT 2025","Mon Apr 21 09:33:32 GMT 2025","14231","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"failed","Mon Apr 21 09:34:00 GMT 2025","Mon Apr 21 09:34:05 GMT 2025","5176","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
