"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","","","","","SwiftRadioUITests","","","","testCrash()",""
"failed","Mon Dec 09 09:36:59 GMT 2024","Mon Dec 09 09:37:19 GMT 2024","19741","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"passed","Mon Dec 09 09:38:34 GMT 2024","Mon Dec 09 09:38:47 GMT 2024","13543","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"passed","Mon Dec 09 09:38:23 GMT 2024","Mon Dec 09 09:38:34 GMT 2024","10621","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
"failed","Mon Dec 09 09:32:55 GMT 2024","","","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"passed","Mon Dec 09 09:37:41 GMT 2024","Mon Dec 09 09:37:54 GMT 2024","13082","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"failed","Mon Dec 09 09:36:27 GMT 2024","Mon Dec 09 09:36:53 GMT 2024","25709","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"failed","Mon Dec 09 09:37:19 GMT 2024","Mon Dec 09 09:37:35 GMT 2024","15169","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"passed","Mon Dec 09 09:38:48 GMT 2024","Mon Dec 09 09:39:09 GMT 2024","21238","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"failed","Mon Dec 09 09:37:55 GMT 2024","Mon Dec 09 09:38:12 GMT 2024","17146","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"passed","Mon Dec 09 09:38:12 GMT 2024","Mon Dec 09 09:38:23 GMT 2024","10695","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"skipped","Mon Dec 09 09:36:53 GMT 2024","Mon Dec 09 09:36:59 GMT 2024","6161","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"passed","Mon Dec 09 09:36:05 GMT 2024","Mon Dec 09 09:36:27 GMT 2024","21591","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"passed","Mon Dec 09 09:35:47 GMT 2024","Mon Dec 09 09:36:05 GMT 2024","17513","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"failed","Mon Dec 09 09:37:35 GMT 2024","Mon Dec 09 09:37:41 GMT 2024","6369","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
