"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 06 09:32:15 GMT 2025","Mon Jan 06 09:32:28 GMT 2025","13187","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"broken","","","","","SwiftRadioUITests","","","","testCrash()",""
"passed","Mon Jan 06 09:33:02 GMT 2025","Mon Jan 06 09:33:23 GMT 2025","21207","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"failed","Mon Jan 06 09:29:58 GMT 2025","Mon Jan 06 09:30:21 GMT 2025","22185","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"failed","Mon Jan 06 09:30:21 GMT 2025","Mon Jan 06 09:30:58 GMT 2025","36798","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"passed","Mon Jan 06 09:29:43 GMT 2025","Mon Jan 06 09:29:58 GMT 2025","15103","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"passed","Mon Jan 06 09:31:48 GMT 2025","Mon Jan 06 09:32:00 GMT 2025","11830","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"failed","Mon Jan 06 09:32:00 GMT 2025","Mon Jan 06 09:32:06 GMT 2025","5574","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
"passed","Mon Jan 06 09:32:06 GMT 2025","Mon Jan 06 09:32:15 GMT 2025","8899","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"passed","Mon Jan 06 09:32:29 GMT 2025","Mon Jan 06 09:32:42 GMT 2025","12961","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"skipped","Mon Jan 06 09:30:58 GMT 2025","Mon Jan 06 09:31:29 GMT 2025","30813","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"passed","Mon Jan 06 09:32:51 GMT 2025","Mon Jan 06 09:33:01 GMT 2025","9881","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"passed","Mon Jan 06 09:31:29 GMT 2025","Mon Jan 06 09:31:48 GMT 2025","18684","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"failed","Mon Jan 06 09:28:33 GMT 2025","Mon Jan 06 09:29:11 GMT 2025","37875","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"passed","Mon Jan 06 09:32:42 GMT 2025","Mon Jan 06 09:32:51 GMT 2025","9474","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
