"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 31 09:32:09 GMT 2025","Mon Mar 31 09:32:30 GMT 2025","20928","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"passed","Mon Mar 31 09:32:45 GMT 2025","Mon Mar 31 09:32:56 GMT 2025","11113","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"failed","Mon Mar 31 09:33:21 GMT 2025","Mon Mar 31 09:33:35 GMT 2025","13677","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"passed","Mon Mar 31 09:32:56 GMT 2025","Mon Mar 31 09:33:08 GMT 2025","11844","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"passed","Mon Mar 31 09:31:49 GMT 2025","Mon Mar 31 09:32:08 GMT 2025","19170","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"passed","Mon Mar 31 09:33:35 GMT 2025","Mon Mar 31 09:33:46 GMT 2025","10696","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"passed","Mon Mar 31 09:34:04 GMT 2025","Mon Mar 31 09:34:25 GMT 2025","20301","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"passed","Mon Mar 31 09:31:36 GMT 2025","Mon Mar 31 09:31:49 GMT 2025","13487","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"passed","Mon Mar 31 09:33:55 GMT 2025","Mon Mar 31 09:34:04 GMT 2025","9049","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"failed","Mon Mar 31 09:33:08 GMT 2025","Mon Mar 31 09:33:13 GMT 2025","4710","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
"passed","Mon Mar 31 09:33:13 GMT 2025","Mon Mar 31 09:33:21 GMT 2025","8028","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"failed","Mon Mar 31 09:30:14 GMT 2025","Mon Mar 31 09:30:44 GMT 2025","29475","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"failed","","","","","SwiftRadioUITests","","","","testCrash()",""
"skipped","Mon Mar 31 09:32:30 GMT 2025","Mon Mar 31 09:32:44 GMT 2025","14340","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"passed","Mon Mar 31 09:33:46 GMT 2025","Mon Mar 31 09:33:55 GMT 2025","8978","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
