"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 21 09:47:22 GMT 2025","Mon Jul 21 09:47:39 GMT 2025","17052","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"passed","Mon Jul 21 09:44:29 GMT 2025","Mon Jul 21 09:44:52 GMT 2025","22278","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"passed","Mon Jul 21 09:47:40 GMT 2025","Mon Jul 21 09:47:57 GMT 2025","17800","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
"passed","Mon Jul 21 09:46:03 GMT 2025","Mon Jul 21 09:46:36 GMT 2025","33205","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"skipped","Mon Jul 21 09:45:38 GMT 2025","Mon Jul 21 09:46:02 GMT 2025","24760","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"failed","Mon Jul 21 09:39:49 GMT 2025","","","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"passed","Mon Jul 21 09:48:14 GMT 2025","Mon Jul 21 09:48:48 GMT 2025","34686","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"failed","Mon Jul 21 09:47:58 GMT 2025","Mon Jul 21 09:48:13 GMT 2025","15803","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"passed","Mon Jul 21 09:46:56 GMT 2025","Mon Jul 21 09:47:08 GMT 2025","11911","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"passed","Mon Jul 21 09:44:08 GMT 2025","Mon Jul 21 09:44:29 GMT 2025","21439","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"failed","Mon Jul 21 09:44:01 GMT 2025","Mon Jul 21 09:43:39 GMT 2025","-21892","","SwiftRadioUITests","","","","Проверка обработки краша приложения в отчете",""
"failed","Mon Jul 21 09:46:50 GMT 2025","Mon Jul 21 09:46:56 GMT 2025","5383","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
"failed","Mon Jul 21 09:46:36 GMT 2025","Mon Jul 21 09:46:50 GMT 2025","13745","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"failed","Mon Jul 21 09:47:08 GMT 2025","Mon Jul 21 09:47:22 GMT 2025","13864","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"failed","Mon Jul 21 09:44:52 GMT 2025","Mon Jul 21 09:45:37 GMT 2025","45373","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
