"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 03 17:26:46 GMT 2024","Tue Dec 03 17:26:59 GMT 2024","13351","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"passed","Tue Dec 03 17:26:05 GMT 2024","Tue Dec 03 17:26:20 GMT 2024","14952","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"passed","Tue Dec 03 17:24:39 GMT 2024","Tue Dec 03 17:24:55 GMT 2024","15395","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"failed","Tue Dec 03 17:25:12 GMT 2024","Tue Dec 03 17:25:32 GMT 2024","19816","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"passed","Tue Dec 03 17:27:22 GMT 2024","Tue Dec 03 17:27:45 GMT 2024","22267","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"passed","Tue Dec 03 17:24:55 GMT 2024","Tue Dec 03 17:25:12 GMT 2024","16900","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"passed","Tue Dec 03 17:25:51 GMT 2024","Tue Dec 03 17:26:04 GMT 2024","13753","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"failed","Tue Dec 03 17:23:20 GMT 2024","Tue Dec 03 17:23:49 GMT 2024","29841","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"failed","Tue Dec 03 17:26:34 GMT 2024","Tue Dec 03 17:26:46 GMT 2024","12050","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"passed","Tue Dec 03 17:26:26 GMT 2024","Tue Dec 03 17:26:33 GMT 2024","7710","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"failed","Tue Dec 03 17:26:20 GMT 2024","Tue Dec 03 17:26:25 GMT 2024","5583","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
"skipped","Tue Dec 03 17:25:32 GMT 2024","Tue Dec 03 17:25:50 GMT 2024","18310","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"passed","Tue Dec 03 17:27:00 GMT 2024","Tue Dec 03 17:27:09 GMT 2024","9960","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
"passed","Tue Dec 03 17:27:10 GMT 2024","Tue Dec 03 17:27:22 GMT 2024","12529","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"broken","","","","","SwiftRadioUITests","","","","testCrash()",""
