"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Jan 13 09:32:25 GMT 2025","Mon Jan 13 09:32:47 GMT 2025","22691","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"failed","Mon Jan 13 09:33:39 GMT 2025","Mon Jan 13 09:33:44 GMT 2025","5403","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
"failed","Mon Jan 13 09:31:46 GMT 2025","Mon Jan 13 09:32:01 GMT 2025","14910","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"passed","Mon Jan 13 09:32:54 GMT 2025","Mon Jan 13 09:33:19 GMT 2025","24693","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"broken","","","","","SwiftRadioUITests","","","","testCrash()",""
"passed","Mon Jan 13 09:34:30 GMT 2025","Mon Jan 13 09:34:39 GMT 2025","9178","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"passed","Mon Jan 13 09:33:19 GMT 2025","Mon Jan 13 09:33:38 GMT 2025","19238","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"passed","Mon Jan 13 09:33:44 GMT 2025","Mon Jan 13 09:33:52 GMT 2025","7729","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"passed","Mon Jan 13 09:32:01 GMT 2025","Mon Jan 13 09:32:24 GMT 2025","23393","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"passed","Mon Jan 13 09:34:08 GMT 2025","Mon Jan 13 09:34:21 GMT 2025","12942","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"skipped","Mon Jan 13 09:32:48 GMT 2025","Mon Jan 13 09:32:54 GMT 2025","6347","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"failed","Mon Jan 13 09:33:52 GMT 2025","Mon Jan 13 09:34:08 GMT 2025","15437","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"passed","Mon Jan 13 09:34:40 GMT 2025","Mon Jan 13 09:34:58 GMT 2025","18805","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"passed","Mon Jan 13 09:34:21 GMT 2025","Mon Jan 13 09:34:30 GMT 2025","9005","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
"failed","Mon Jan 13 09:30:11 GMT 2025","Mon Jan 13 09:30:43 GMT 2025","31770","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
