"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 07 09:37:40 GMT 2025","Mon Jul 07 09:37:48 GMT 2025","8605","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"failed","Mon Jul 07 09:37:33 GMT 2025","Mon Jul 07 09:37:39 GMT 2025","6602","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
"passed","Mon Jul 07 09:38:36 GMT 2025","Mon Jul 07 09:38:57 GMT 2025","21072","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"passed","Mon Jul 07 09:36:12 GMT 2025","Mon Jul 07 09:36:32 GMT 2025","20697","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"passed","Mon Jul 07 09:37:22 GMT 2025","Mon Jul 07 09:37:32 GMT 2025","10958","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"failed","Mon Jul 07 09:34:57 GMT 2025","Mon Jul 07 09:35:30 GMT 2025","32849","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"passed","Mon Jul 07 09:37:09 GMT 2025","Mon Jul 07 09:37:21 GMT 2025","12036","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"broken","Mon Jul 07 09:35:54 GMT 2025","Mon Jul 07 09:35:36 GMT 2025","-18122","","SwiftRadioUITests","","","","Проверка обработки краша приложения в отчете",""
"failed","Mon Jul 07 09:36:33 GMT 2025","Mon Jul 07 09:36:53 GMT 2025","20840","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"passed","Mon Jul 07 09:38:02 GMT 2025","Mon Jul 07 09:38:15 GMT 2025","12972","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"passed","Mon Jul 07 09:35:59 GMT 2025","Mon Jul 07 09:36:11 GMT 2025","12583","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"failed","Mon Jul 07 09:37:48 GMT 2025","Mon Jul 07 09:38:01 GMT 2025","13074","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"skipped","Mon Jul 07 09:36:54 GMT 2025","Mon Jul 07 09:37:09 GMT 2025","15123","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"passed","Mon Jul 07 09:38:15 GMT 2025","Mon Jul 07 09:38:26 GMT 2025","11269","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
"passed","Mon Jul 07 09:38:26 GMT 2025","Mon Jul 07 09:38:35 GMT 2025","8999","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
