"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 17 04:18:04 GMT 2025","Thu Apr 17 04:18:20 GMT 2025","15997","","SwiftRadioUITests","","","","Проверка обработки краша приложения в отчете",""
"passed","Thu Apr 17 04:20:31 GMT 2025","Thu Apr 17 04:20:39 GMT 2025","7410","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"passed","Thu Apr 17 04:20:04 GMT 2025","Thu Apr 17 04:20:14 GMT 2025","10240","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"failed","Thu Apr 17 04:20:39 GMT 2025","Thu Apr 17 04:20:50 GMT 2025","11270","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"failed","Thu Apr 17 04:20:26 GMT 2025","Thu Apr 17 04:20:31 GMT 2025","4903","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
"passed","Thu Apr 17 04:21:22 GMT 2025","Thu Apr 17 04:21:44 GMT 2025","21680","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"skipped","Thu Apr 17 04:19:46 GMT 2025","Thu Apr 17 04:20:04 GMT 2025","17346","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"passed","Thu Apr 17 04:21:12 GMT 2025","Thu Apr 17 04:21:22 GMT 2025","9608","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"passed","Thu Apr 17 04:20:15 GMT 2025","Thu Apr 17 04:20:26 GMT 2025","11401","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"passed","Thu Apr 17 04:19:03 GMT 2025","Thu Apr 17 04:19:26 GMT 2025","23053","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"failed","Thu Apr 17 04:17:25 GMT 2025","Thu Apr 17 04:18:03 GMT 2025","38074","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"failed","Thu Apr 17 04:19:27 GMT 2025","Thu Apr 17 04:19:46 GMT 2025","19349","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"passed","Thu Apr 17 04:21:02 GMT 2025","Thu Apr 17 04:21:12 GMT 2025","9818","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
"passed","Thu Apr 17 04:20:50 GMT 2025","Thu Apr 17 04:21:02 GMT 2025","11512","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"passed","Thu Apr 17 04:18:46 GMT 2025","Thu Apr 17 04:19:03 GMT 2025","17138","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
