"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 22 14:18:48 GMT 2025","Wed Jan 22 14:19:03 GMT 2025","15210","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"passed","Wed Jan 22 14:20:24 GMT 2025","Wed Jan 22 14:20:46 GMT 2025","21367","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"passed","Wed Jan 22 14:17:42 GMT 2025","Wed Jan 22 14:18:02 GMT 2025","20479","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"failed","Wed Jan 22 14:16:37 GMT 2025","Wed Jan 22 14:17:11 GMT 2025","33986","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"passed","Wed Jan 22 14:19:03 GMT 2025","Wed Jan 22 14:19:21 GMT 2025","17496","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"passed","Wed Jan 22 14:19:27 GMT 2025","Wed Jan 22 14:19:34 GMT 2025","6935","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"failed","Wed Jan 22 14:19:21 GMT 2025","Wed Jan 22 14:19:27 GMT 2025","6282","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
"passed","Wed Jan 22 14:18:03 GMT 2025","Wed Jan 22 14:18:21 GMT 2025","18098","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"broken","Wed Jan 22 14:17:35 GMT 2025","Wed Jan 22 14:17:21 GMT 2025","-14695","","SwiftRadioUITests","","","","Проверка обработки краша приложения в отчете",""
"passed","Wed Jan 22 14:20:12 GMT 2025","Wed Jan 22 14:20:24 GMT 2025","11944","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"failed","Wed Jan 22 14:19:35 GMT 2025","Wed Jan 22 14:19:46 GMT 2025","11364","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"failed","Wed Jan 22 14:18:21 GMT 2025","Wed Jan 22 14:18:41 GMT 2025","20047","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"skipped","Wed Jan 22 14:18:41 GMT 2025","Wed Jan 22 14:18:47 GMT 2025","6356","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"passed","Wed Jan 22 14:19:46 GMT 2025","Wed Jan 22 14:19:59 GMT 2025","12472","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"passed","Wed Jan 22 14:19:59 GMT 2025","Wed Jan 22 14:20:12 GMT 2025","13053","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
