"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Apr 07 09:33:43 GMT 2025","Mon Apr 07 09:33:57 GMT 2025","13398","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"passed","Mon Apr 07 09:32:17 GMT 2025","Mon Apr 07 09:32:36 GMT 2025","18534","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"broken","Mon Apr 07 09:31:54 GMT 2025","Mon Apr 07 09:31:34 GMT 2025","-19353","","SwiftRadioUITests","","","","Проверка обработки краша приложения в отчете",""
"passed","Mon Apr 07 09:34:48 GMT 2025","Mon Apr 07 09:34:59 GMT 2025","10434","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"failed","Mon Apr 07 09:34:12 GMT 2025","Mon Apr 07 09:34:27 GMT 2025","14460","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"failed","Mon Apr 07 09:30:40 GMT 2025","Mon Apr 07 09:31:17 GMT 2025","37560","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"passed","Mon Apr 07 09:34:04 GMT 2025","Mon Apr 07 09:34:12 GMT 2025","8304","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"skipped","Mon Apr 07 09:32:58 GMT 2025","Mon Apr 07 09:33:26 GMT 2025","27772","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"passed","Mon Apr 07 09:34:39 GMT 2025","Mon Apr 07 09:34:48 GMT 2025","9359","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
"passed","Mon Apr 07 09:33:26 GMT 2025","Mon Apr 07 09:33:43 GMT 2025","16792","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"passed","Mon Apr 07 09:31:58 GMT 2025","Mon Apr 07 09:32:17 GMT 2025","18840","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"passed","Mon Apr 07 09:34:59 GMT 2025","Mon Apr 07 09:35:21 GMT 2025","21668","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"failed","Mon Apr 07 09:33:57 GMT 2025","Mon Apr 07 09:34:04 GMT 2025","6683","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
"failed","Mon Apr 07 09:32:36 GMT 2025","Mon Apr 07 09:32:58 GMT 2025","21772","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"passed","Mon Apr 07 09:34:27 GMT 2025","Mon Apr 07 09:34:39 GMT 2025","11589","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
