"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Mar 10 09:29:49 GMT 2025","Mon Mar 10 09:30:08 GMT 2025","19122","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
"passed","Mon Mar 10 09:29:39 GMT 2025","Mon Mar 10 09:29:48 GMT 2025","8929","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"failed","Mon Mar 10 09:30:40 GMT 2025","Mon Mar 10 09:30:49 GMT 2025","9347","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"passed","Mon Mar 10 09:30:08 GMT 2025","Mon Mar 10 09:30:27 GMT 2025","19099","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"failed","Mon Mar 10 09:25:43 GMT 2025","Mon Mar 10 09:26:24 GMT 2025","41076","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"failed","Mon Mar 10 09:28:12 GMT 2025","Mon Mar 10 09:28:39 GMT 2025","26517","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"failed","Mon Mar 10 09:29:33 GMT 2025","Mon Mar 10 09:29:39 GMT 2025","6538","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
"passed","Mon Mar 10 09:27:34 GMT 2025","Mon Mar 10 09:27:52 GMT 2025","17630","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"broken","","","","","SwiftRadioUITests","","","","testCrash()",""
"skipped","Mon Mar 10 09:28:39 GMT 2025","Mon Mar 10 09:29:00 GMT 2025","20954","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"passed","Mon Mar 10 09:29:17 GMT 2025","Mon Mar 10 09:29:32 GMT 2025","15908","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"passed","Mon Mar 10 09:27:52 GMT 2025","Mon Mar 10 09:28:12 GMT 2025","19869","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"passed","Mon Mar 10 09:30:27 GMT 2025","Mon Mar 10 09:30:40 GMT 2025","12350","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
"failed","Mon Mar 10 09:29:00 GMT 2025","Mon Mar 10 09:29:16 GMT 2025","16053","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"passed","Mon Mar 10 09:30:49 GMT 2025","Mon Mar 10 09:31:16 GMT 2025","26316","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
