"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 04 09:46:45 GMT 2025","Mon Aug 04 09:46:58 GMT 2025","13759","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Play",""
"failed","Mon Aug 04 09:44:11 GMT 2025","Mon Aug 04 09:44:35 GMT 2025","23895","","SwiftRadioUITests","","","","Проверка корректного закрытия текущего экрана",""
"passed","Mon Aug 04 09:47:20 GMT 2025","Mon Aug 04 09:47:38 GMT 2025","18507","","SwiftRadioUITests","","","","Проверка отображение элементов на экране с информацией о станции, также корректную работу переходов по нажатию на кнопку назад(в Navigation bar) и ок на самом экране",""
"failed","Mon Aug 04 09:46:18 GMT 2025","Mon Aug 04 09:46:24 GMT 2025","5526","","SwiftRadioUITests","","","","Проверка отображения всех элементов в ячейке",""
"skipped","Mon Aug 04 09:45:42 GMT 2025","Mon Aug 04 09:45:53 GMT 2025","11040","","SwiftRadioUITests","","","","Проверка обработки Skip теста в отчете",""
"passed","Mon Aug 04 09:46:24 GMT 2025","Mon Aug 04 09:46:32 GMT 2025","7567","","SwiftRadioUITests","","","","Проверка статуса - ошибка для трека с радио",""
"broken","","","","","SwiftRadioUITests","","","","testCrash()",""
"passed","Mon Aug 04 09:45:53 GMT 2025","Mon Aug 04 09:46:05 GMT 2025","11719","","SwiftRadioUITests","","","","Проверка правильного отображения кнопки Now Playing в Navigation bar",""
"failed","Mon Aug 04 09:42:49 GMT 2025","Mon Aug 04 09:43:47 GMT 2025","58528","","SwiftRadioUITests","","","","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку Website",""
"passed","Mon Aug 04 09:46:59 GMT 2025","Mon Aug 04 09:47:09 GMT 2025","9817","","SwiftRadioUITests","","","","Проверка статуса - пауза для трека с радио",""
"passed","Mon Aug 04 09:46:05 GMT 2025","Mon Aug 04 09:46:18 GMT 2025","12666","","SwiftRadioUITests","","","","Проверка отображения выбранной станции в кнопке Play",""
"passed","Mon Aug 04 09:44:35 GMT 2025","Mon Aug 04 09:44:53 GMT 2025","18479","","SwiftRadioUITests","","","","Проверка отображения алерта при нажатии на кнопку email",""
"failed","Mon Aug 04 09:44:54 GMT 2025","Mon Aug 04 09:45:42 GMT 2025","48147","","SwiftRadioUITests","","","","Открытие ссылки - matthewfetcher.com","Проверка отображения элементов на экране и переход на корректную ссылку при нажатии на кнопку matthewfetcher.com"
"passed","Mon Aug 04 09:47:09 GMT 2025","Mon Aug 04 09:47:20 GMT 2025","10756","","SwiftRadioUITests","","","","Проверка статуса - стоп для трека с радио",""
"failed","Mon Aug 04 09:46:32 GMT 2025","Mon Aug 04 09:46:44 GMT 2025","12530","","SwiftRadioUITests","","","","Проверка открытия правильной станции по нажатию на кнопку Now Playing в NavBar",""
